nuts;lau;gemeente
BE100;21001;Anderlecht
BE100;21002;Oudergem
BE100;21003;Sint-Agatha-Berchem
BE100;21004;Brussel
BE100;21005;Etterbeek
BE100;21006;Evere
BE100;21007;Vorst (Brussel-Hoofdstad)
BE100;21008;Ganshoren
BE100;21009;Elsene
BE100;21010;Jette
BE100;21011;Koekelberg
BE100;21012;Sint-Jans-Molenbeek
BE100;21013;Sint-Gillis
BE100;21014;Sint-Joost-ten-Node
BE100;21015;Schaarbeek
BE100;21016;Ukkel
BE100;21017;Watermaal-Bosvoorde
BE100;21018;Sint-Lambrechts-Woluwe
BE100;21019;Sint-Pieters-Woluwe
BE211;11001;Aartselaar
BE211;11002;Antwerpen
BE211;11004;Boechout
BE211;11005;Boom
BE211;11007;Borsbeek
BE211;11008;Brasschaat
BE211;11009;Brecht
BE211;11013;Edegem
BE211;11016;Essen
BE211;11018;Hemiksem
BE211;11021;Hove (Antwerpen)
BE211;11022;Kalmthout
BE211;11023;Kapellen (Antwerpen)
BE211;11024;Kontich
BE211;11025;Lint
BE211;11029;Mortsel
BE211;11030;Niel
BE211;11035;Ranst
BE211;11037;Rumst
BE211;11038;Schelle
BE211;11039;Schilde
BE211;11040;Schoten
BE211;11044;Stabroek
BE211;11050;Wijnegem
BE211;11052;Wommelgem
BE211;11053;Wuustwezel
BE211;11054;Zandhoven
BE211;11055;Zoersel
BE211;11056;Zwijndrecht
BE211;11057;Malle
BE212;12002;Berlaar
BE212;12005;Bonheiden
BE212;12007;Bornem
BE212;12009;Duffel
BE212;12014;Heist-op-den-Berg
BE212;12021;Lier
BE212;12025;Mechelen
BE212;12026;Nijlen
BE212;12029;Putte
BE212;12035;Sint-Katelijne-Waver
BE212;12040;Willebroek
BE212;12041;Puurs-Sint-Amands
BE213;13001;Arendonk
BE213;13002;Baarle-Hertog
BE213;13003;Balen
BE213;13004;Beerse
BE213;13006;Dessel
BE213;13008;Geel
BE213;13010;Grobbendonk
BE213;13011;Herentals
BE213;13012;Herenthout
BE213;13013;Herselt
BE213;13014;Hoogstraten
BE213;13016;Hulshout
BE213;13017;Kasterlee
BE213;13019;Lille
BE213;13021;Meerhout
BE213;13023;Merksplas
BE213;13025;Mol
BE213;13029;Olen
BE213;13031;Oud-Turnhout
BE213;13035;Ravels
BE213;13036;Retie
BE213;13037;Rijkevorsel
BE213;13040;Turnhout
BE213;13044;Vorselaar
BE213;13046;Vosselaar
BE213;13049;Westerlo
BE213;13053;Laakdal
BE223;73001;Alken
BE223;73006;Bilzen
BE223;73009;Borgloon
BE223;73022;Heers
BE223;73028;Herstappe
BE223;73032;Hoeselt
BE223;73040;Kortessem
BE223;73042;Lanaken
BE223;73066;Riemst
BE223;73083;Tongeren
BE223;73098;Wellen
BE223;73107;Maasmechelen
BE223;73109;Voeren
BE224;71002;As
BE224;71004;Beringen
BE224;71011;Diepenbeek
BE224;71016;Genk
BE224;71017;Gingelom
BE224;71020;Halen
BE224;71022;Hasselt
BE224;71024;Herk-de-Stad
BE224;71034;Leopoldsburg
BE224;71037;Lummen
BE224;71045;Nieuwerkerken (Hasselt)
BE224;71053;Sint-Truiden
BE224;71057;Tessenderlo
BE224;71066;Zonhoven
BE224;71067;Zutendaal
BE224;71069;Ham
BE224;71070;Heusden-Zolder
BE225;72003;Bocholt
BE225;72004;Bree
BE225;72018;Kinrooi
BE225;72020;Lommel
BE225;72021;Maaseik
BE225;72030;Peer
BE225;72037;Hamont-Achel
BE225;72038;Hechtel-Eksel
BE225;72039;Houthalen-Helchteren
BE225;72041;Dilsen-Stokkem
